"Date","Contact Name","Reference","Description","Item Account Code","Bank Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","Tracking Name 1","Tracking Option 1","Tracking Name 2","Tracking Option 2","Currency Code","Exchange Rate","Trans #"
"21/07/2023","Caryon SA - HQ","PV202307004",".","9999","","3384317.57","BAS Excluded","",,,"",,,,,""
"25/09/2023","Caryon SA - HQ","PV202309005",".","9999","","179300.00","BAS Excluded","",,,"",,,,,""
"25/09/2023","Caryon SA - HQ","PV202309005",".","9999","","175924.43","BAS Excluded","",,,"",,,,,""
"15/12/2023","KBANK","RV202312001",".","9999","","550.88","BAS Excluded","",,,"",,,,,""
"25/12/2023","KBANK","RV202312002",".","9999","","11227.38","BAS Excluded","",,,"",,,,,""
"31/12/2023","No Name","JV202312002",".","9999","","428673.07","BAS Excluded","",,,"",,,,,""
"05/01/2024","KBANK","PV202401001",".","9999","","1032600.00","BAS Excluded","",,,"",,,,,""
"08/03/2024","Caryon SA - HQ","PV202403002",".","9999","","700795.53","BAS Excluded","",,,"",,,,,""
"27/03/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202403001",".","9999","","3657050.00","BAS Excluded","",,,"",,,,,""
"27/03/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202403001",".","9999","","47541.65","BAS Excluded","",,,"",,,,,""
"21/06/2024","KBANK","RV202406001",".","9999","","585.33","BAS Excluded","",,,"",,,,,""
"24/06/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202406002",".","9999","","3691490.00","BAS Excluded","",,,"",,,,,""
"24/06/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202406002",".","9999","","102746.35","BAS Excluded","",,,"",,,,,""
"25/06/2024","KBANK","RV202406003",".","9999","","1233.88","BAS Excluded","",,,"",,,,,""
"05/07/2024","KBANK","RV202407001",".","9999","","5148.85","BAS Excluded","",,,"",,,,,""
"25/09/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202409001",".","9999","","3281020.00","BAS Excluded","",,,"",,,,,""
"25/09/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202409001",".","9999","","142177.42","BAS Excluded","",,,"",,,,,""
"25/10/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202410001",".","9999","","3389580.00","BAS Excluded","",,,"",,,,,""
"25/10/2024","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202410001",".","9999","","163829.59","BAS Excluded","",,,"",,,,,""
"20/12/2024","KBANK","RV202412001",".","9999","","499.25","BAS Excluded","",,,"",,,,,""
"25/12/2024","KBANK","RV202412002",".","9999","","497.06","BAS Excluded","",,,"",,,,,""
"31/12/2024","No Name","JV202412004",".","9999","","1348935.55","BAS Excluded","",,,"",,,,,""
