Trans no,Type,Date,Num,Name,Source Name,Name Address,Name Street1,Name Street2,Name City,Name County,Name Postcode,Name Contact,Name Phone no,Name E-Mail,Memo,Terms,Item,Item Description,Account,Class,VAT Code,Split,Qty,Sales Price,Debit,Credit,Amount,Balance,Account Type,Net Amount,VAT Amount,Gross Amount,Ship To City,Ship To Address 1,Ship To Address 2,Ship To County,Ship Postcode
8,General Journal,30/12/2020,JV202012005,Audit,Audit,,,,,,,,,,2020 Audit fee,,,,5171101  Audit fee,,,2122104  Accrued Other,,,5000.00,,5000,0,Expense,0,0,0,,,,,
9,General Journal,01/01/2021,JV202101001,Social security office,Social security office,,,,,,,,,,Adj2021 Prepaid compensation fund RefJV202012003,,,,5121102  Contribution to Social,,,-SPLIT-,,,288.00,,288,288,Expense,0,0,0,,,,,
9,General Journal,01/01/2021,JV202101001,Social security office,Social security office,,,,,,,,,,Adj2021 Prepaid compensation fund RefJV202012003,,,,1141199  Prepaid - Others,,,5121102  Contribution to Social,,,,288.00,-288,0,Other Current Asset,0,0,0,,,,,
9,General Journal,01/01/2021,JV202101001,Social security office,Social security office,,,,,,,,,,SSO of  2020,,,,5121101  Contribution to Social,,,5121102  Contribution to Social,,,808.00,,808,808,Expense,0,0,0,,,,,
9,General Journal,01/01/2021,JV202101001,Social security office,Social security office,,,,,,,,,,SSO of  2020,,,,1112101  Bank S/A -Kbank -9996,,,5121102  Contribution to Social,,,,808.00,-808,0,Bank,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012001,,,,1111101 Petty cash,,,-SPLIT-,,,272.00,,272,272,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012002,,,,1111101 Petty cash,,,1111101 Petty cash,,,48.00,,48,320,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012003,,,,1111101 Petty cash,,,1111101 Petty cash,,,288.00,,288,608,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012004,,,,1111101 Petty cash,,,1111101 Petty cash,,,200.00,,200,808,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012001,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,272.00,-272,536,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012002,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,48.00,-48,488,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012003,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,288.00,-288,200,Other Current Asset,0,0,0,,,,,
90,General Journal,01/01/2021,JV202101004,,,,,,,,,,,,(AJE-1 2021) Petty cash Over record in 2020 Ref.JV202012004,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,200.00,-200,0,Other Current Asset,0,0,0,,,,,
91,General Journal,01/01/2021,JV202101005,,,,,,,,,,,,(AJE-2 2021) Petty cash Over record in 2020 Salary of Nov 2020 Ref.JV202011001,,,,1111101 Petty cash,,,-SPLIT-,,,6664.00,,6664,6664,Other Current Asset,0,0,0,,,,,
91,General Journal,01/01/2021,JV202101005,,,,,,,,,,,,(AJE-2 2021) Petty cash Over record in 2020 Salary of Dec 2020 Ref.JV202012000,,,,1111101 Petty cash,,,1111101 Petty cash,,,11400.00,,11400,18064,Other Current Asset,0,0,0,,,,,
91,General Journal,01/01/2021,JV202101005,,,,,,,,,,,,(AJE-2 2021) Petty cash Over record in 2020 Salary of Nov 2020 Ref.JV202011001,,,,5111101  Employee salary,,,1111101 Petty cash,,,,6664.00,-6664,11400,Expense,0,0,0,,,,,
91,General Journal,01/01/2021,JV202101005,,,,,,,,,,,,(AJE-2 2021) Petty cash Over record in 2020 Salary of Dec 2020 Ref.JV202012000,,,,5111101  Employee salary,,,1111101 Petty cash,,,,11400.00,-11400,0,Expense,0,0,0,,,,,
92,General Journal,01/01/2021,JV202101006,,,,,,,,,,,,(AJE-3 2021) Petty cash Over record in 2020 - Reverse RBM fund from thai authorizer Ref.RV202011000,,,,1111101 Petty cash,,,3000  Share Capital Account,,,,200000.00,-200000,-200000,Other Current Asset,0,0,0,,,,,
92,General Journal,01/01/2021,JV202101006,,,,,,,,,,,,(AJE-3 2021) Petty cash Over record in 2020 - Reverse RBM fund from thai authorizer Ref.RV202011000,,,,3000  Share Capital Account,,,1111101 Petty cash,,,200000.00,,200000,0,Equity,0,0,0,,,,,
10,Cheque,25/01/2021,PV202101001,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,5131101  Stationery Expenses,,,,28900.00,-28900,-28900,Bank,-28900,0,-28900,,,,,
10,Cheque,25/01/2021,PV202101001,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,Lenovo notebook legion ideapad,,,,5131101  Stationery Expenses,,,1112101  Bank S/A -Kbank -9996,,28900,28900.00,,28900,0,Expense,28900,0,28900,,,,,
11,General Journal,28/01/2021,JV202101003,Employee,Employee,,,,,,,,,,Salary of Jan 2021,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,,12000.00,,12000,12000,Expense,0,0,0,,,,,
11,General Journal,28/01/2021,JV202101003,Employee,Employee,,,,,,,,,,Salary of Jan 2021,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,,360.00,,360,12360,Expense,0,0,0,,,,,
11,General Journal,28/01/2021,JV202101003,Employee,Employee,,,,,,,,,,Salary of Jan 2021,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11640.00,-11640,720,Bank,0,0,0,,,,,
11,General Journal,28/01/2021,JV202101003,Employee,Employee,,,,,,,,,,Salary of Jan 2021,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,,,720.00,-720,0,Accounts Payable,0,0,0,,,,,
17,General Journal,28/01/2021,JV202101002,,,,,,,,,,,,"Transfer from USD to THB acct (USD50,000) on 28/1/2021",,,,1112101  Bank S/A -Kbank -9996,,,3000  Share Capital Account,,,1493500.00,,1493500,1493500,Bank,0,0,0,,,,,
17,General Journal,28/01/2021,JV202101002,,,,,,,,,,,,"Transfer from USD to THB acct (USD50,000) on 28/1/2021",,,,3000  Share Capital Account,,,1112101  Bank S/A -Kbank -9996,,,,1493500.00,-1493500,0,Equity,0,0,0,,,,,
18,Cheque,28/01/2021,PV202103002,tis petroleum E&P BLORA,tis petroleum E&P BLORA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,2122102  Accrued Social securit,,,,720.00,-720,-720,Bank,-720,0,-720,,,,,
18,Cheque,28/01/2021,PV202103002,tis petroleum E&P BLORA,tis petroleum E&P BLORA,,,,,,,,,,SSO JAN21- Loan from TIS Blora,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,720,720.00,,720,0,Accounts Payable,720,0,720,,,,,
12,Cheque,03/02/2021,PV202102001,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,5131112  Fee,,,,750.00,-750,-750,Bank,-750,0,-750,,,,,
12,Cheque,03/02/2021,PV202102001,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,Document Legalization fee for Nicho on 4/2/21 @Indonesia embassy,,,,5131112  Fee,,,1112101  Bank S/A -Kbank -9996,,750,750.00,,750,0,Expense,750,0,750,,,,,
14,General Journal,28/02/2021,JV202102001,Employee,Employee,,,,,,,,,,Salary of Feb 2021,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11640.00,-11640,-11640,Bank,0,0,0,,,,,
14,General Journal,28/02/2021,JV202102001,Employee,Employee,,,,,,,,,,Salary of Feb 2021,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,,,420.00,-420,-12060,Accounts Payable,0,0,0,,,,,
14,General Journal,28/02/2021,JV202102001,Employee,Employee,,,,,,,,,,Salary of Feb 2021,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,,12000.00,,12000,-60,Expense,0,0,0,,,,,
14,General Journal,28/02/2021,JV202102001,Employee,Employee,,,,,,,,,,Salary of Feb 2021,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,,360.00,,360,300,Expense,0,0,0,,,,,
14,General Journal,28/02/2021,JV202102001,Employee,Employee,,,,,,,,,,Salary of Feb 2021,,,,1111101 Petty cash,,,1112102  Bank C/A -Kbank -0612,,,,300.00,-300,0,Other Current Asset,0,0,0,,,,,
13,Cheque,11/03/2021,PV202102002,KBANK,KBANK,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,18508.49,-18508.49,-18508.49,Bank,-18508.49,0,-18508.49,,,,,
13,Cheque,11/03/2021,PV202102002,KBANK,KBANK,,,,,,,,,,"Professional fee(HKD4,000@3.9110200,8/2/21)",,,,3000  Share Capital Account,,,1112101  Bank S/A -Kbank -9996,,18508,18508.00,,18508,-0.49,Equity,18508,0,18508,,,,,
13,Cheque,11/03/2021,PV202102002,KBANK,KBANK,,,,,,,,,,Diff from decimal,,,,5191103 Round up/down payment,,,1112101  Bank S/A -Kbank -9996,,0.49,0.49,,0.49,0,Expense,0.49,0,0.49,,,,,
16,Cheque,11/03/2021,PV202103001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,300000.00,-300000,-300000,Bank,-300000,0,-300000,,,,,
16,Cheque,11/03/2021,PV202103001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for JAN-MAR 2021,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,308655,308655.00,,308655,8655,Expense,308655,0,308655,,,,,
16,Cheque,11/03/2021,PV202103001,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for JAN-MAR 2021,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-8655,,8655.00,-8655,0,Accounts Payable,-8655,0,-8655,,,,,
19,Cheque,11/03/2021,PV202103003,,,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,2122102  Accrued Social securit,,,,420.00,-420,-420,Bank,-420,0,-420,,,,,
19,Cheque,11/03/2021,PV202103003,Social security office,,,,,,,,,,,SSO FEB21- Loan from TIS Blora,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,420,420.00,,420,0,Accounts Payable,420,0,420,,,,,
20,Cheque,11/03/2021,PV202103004,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,2122104  Accrued Other,,,,1200.00,-1200,-1200,Bank,-1200,0,-1200,,,,,
20,Cheque,11/03/2021,PV202103004,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,SSO DEC20- Loan from TIS Asia,,,,2122104  Accrued Other,,,1112101  Bank S/A -Kbank -9996,,1200,1200.00,,1200,0,Accounts Payable,1200,0,1200,,,,,
21,Cheque,11/03/2021,PV202103007,KBANK,KBANK,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,1112102  Bank C/A -Kbank -0612,,,,74000.00,-74000,-74000,Bank,-74000,0,-74000,,,,,
21,Cheque,11/03/2021,PV202103007,KBANK,KBANK,,,,,,,,,,Transfer from SV THB account to CR Account,,,,1112102  Bank C/A -Kbank -0612,,,1112101  Bank S/A -Kbank -9996,,74000,74000.00,,74000,0,Bank,74000,0,74000,,,,,
15,General Journal,31/03/2021,JV202103001,Employee,Employee,,,,,,,,,,Salary of Mar 2021,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11400.00,-11400,-11400,Bank,0,0,0,,,,,
15,General Journal,31/03/2021,JV202103001,Employee,Employee,,,,,,,,,,Salary of Mar 2021,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,,,420.00,-420,-11820,Accounts Payable,0,0,0,,,,,
15,General Journal,31/03/2021,JV202103001,Employee,Employee,,,,,,,,,,Salary of Mar 2021,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,,12000.00,,12000,180,Expense,0,0,0,,,,,
15,General Journal,31/03/2021,JV202103001,Employee,Employee,,,,,,,,,,Salary of Mar 2021,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,,360.00,,360,540,Expense,0,0,0,,,,,
15,General Journal,31/03/2021,JV202103001,Employee,Employee,,,,,,,,,,Salary of Mar 2021,,,,1111101 Petty cash,,,1112102  Bank C/A -Kbank -0612,,,,540.00,-540,0,Other Current Asset,0,0,0,,,,,
22,Cheque,23/04/2021,PV202103008,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,100000.00,-100000,-100000,Bank,-100000,0,-100000,,,,,
22,Cheque,23/04/2021,PV202103008,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for APR 2021,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,102885,102885.00,,102885,2885,Expense,102885,0,102885,,,,,
22,Cheque,23/04/2021,PV202103008,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for APR 2021,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-2885,,2885.00,-2885,0,Accounts Payable,-2885,0,-2885,,,,,
23,Cheque,23/04/2021,PV202103009,Employee,Employee,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,11940.00,-11940,-11940,Bank,-11940,0,-11940,,,,,
23,Cheque,23/04/2021,PV202103009,Employee,Employee,,,,,,,,,,Salary APR 21,,,,5111101  Employee salary,,,1112101  Bank S/A -Kbank -9996,,12000,12000.00,,12000,60,Expense,12000,0,12000,,,,,
23,Cheque,23/04/2021,PV202103009,Employee,Employee,,,,,,,,,,Salary APR 21,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,600,600.00,,600,660,Expense,600,0,600,,,,,
23,Cheque,23/04/2021,PV202103009,Social security office,Employee,,,,,,,,,,Salary APR 21,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,-1200,,1200.00,-1200,-540,Accounts Payable,-1200,0,-1200,,,,,
23,Cheque,23/04/2021,PV202103009,Employee,Employee,,,,,,,,,,Salary APR 21,,,,1111101 Petty cash,,,1112101  Bank S/A -Kbank -9996,,540,540.00,,540,0,Other Current Asset,540,0,540,,,,,
24,Cheque,23/04/2021,PV202104001,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,2122102  Accrued Social securit,,,,420.00,-420,-420,Bank,-420,0,-420,,,,,
24,Cheque,23/04/2021,PV202104001,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,SSO MAR21- Loan from TIS Asia,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,420,420.00,,420,0,Accounts Payable,420,0,420,,,,,
25,Cheque,23/04/2021,PV202105001,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11544.00,-11544,-11544,Bank,-11544,0,-11544,,,,,
25,Cheque,23/04/2021,PV202105001,Revenue department,"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,PND53 of APR 21,,,,2224104  WHT - Other **,,,1112102  Bank C/A -Kbank -0612,,11540,11540.00,,11540,-4,Accounts Payable,11540,0,11540,,,,,
25,Cheque,23/04/2021,PV202105001,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,PND53 of APR 21,,,,5131111  Bank charge,,,1112102  Bank C/A -Kbank -0612,,5,5.00,,5,1,Expense,5,0,5,,,,,
25,Cheque,23/04/2021,PV202105001,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,PND53 of APR 21,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,-1,,1.00,-1,0,Expense,-1,0,-1,,,,,
27,Cheque,05/05/2021,PV202105004,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,1200.00,-1200,-1200,Bank,-1200,0,-1200,,,,,
27,Cheque,05/05/2021,PV202105004,Social security office,Social security office,,,,,,,,,,'SSO APR 21,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,1200,1200.00,,1200,0,Accounts Payable,1200,0,1200,,,,,
26,Cheque,24/05/2021,PV202105002,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,100000.16,-100000.16,-100000.16,Bank,-100000.16,0,-100000.16,,,,,
26,Cheque,24/05/2021,PV202105002,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for MAY 2021,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,102885,102885.00,,102885,2884.84,Expense,102885,0,102885,,,,,
26,Cheque,24/05/2021,PV202105002,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for MAY 2021,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-2884.62,,2884.62,-2884.62,0.22,Accounts Payable,-2884.62,0,-2884.62,,,,,
26,Cheque,24/05/2021,PV202105002,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Diff from decimal,,,,5191103 Round up/down payment,,,1112101  Bank S/A -Kbank -9996,,-0.22,,0.22,-0.22,0,Expense,-0.22,0,-0.22,,,,,
29,Cheque,31/05/2021,PV202105006,Employee,Employee,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11400.00,-11400,-11400,Bank,-11400,0,-11400,,,,,
29,Cheque,31/05/2021,PV202105006,Employee,Employee,,,,,,,,,,Salary MAY 21,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,12000,12000.00,,12000,600,Expense,12000,0,12000,,,,,
29,Cheque,31/05/2021,PV202105006,Social security office,Employee,,,,,,,,,,Salary MAY 21,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,-1200,,1200.00,-1200,-600,Accounts Payable,-1200,0,-1200,,,,,
29,Cheque,31/05/2021,PV202105006,Employee,Employee,,,,,,,,,,Salary MAY 21,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,600,600.00,,600,0,Expense,600,0,600,,,,,
30,Cheque,02/06/2021,PV202106002,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2224104  WHT - Other **,,,,2884.62,-2884.62,-2884.62,Bank,-2884.62,0,-2884.62,,,,,
30,Cheque,02/06/2021,PV202106002,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,PND53 MAY21 - loan from Tispet,,,,2224104  WHT - Other **,,,1112102  Bank C/A -Kbank -0612,,2884.62,2884.62,,2884.62,0,Accounts Payable,2884.62,0,2884.62,,,,,
31,Cheque,02/06/2021,PV202106003,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,1200.00,-1200,-1200,Bank,-1200,0,-1200,,,,,
31,Cheque,02/06/2021,PV202106003,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,SSO MAY21- loan from Tispet,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,1200,1200.00,,1200,0,Accounts Payable,1200,0,1200,,,,,
28,Cheque,04/06/2021,PV202105005,Audit,Audit,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,2122104  Accrued Other,,,,4880.00,-4880,-4880,Bank,-4880,0,-4880,,,,,
28,Cheque,04/06/2021,PV202105005,Audit,Audit,,,,,,,,,,Audit fee 2020,,,,2122104  Accrued Other,,,1112101  Bank S/A -Kbank -9996,,4880,4880.00,,4880,0,Accounts Payable,4880,0,4880,,,,,
32,General Journal,18/06/2021,JV202106001,KBANK,KBANK,,,,,,,,,,Half year interest 2021,,,,1112101  Bank S/A -Kbank -9996,,,4200001  Interest income,,,217.25,,217.25,217.25,Bank,0,0,0,,,,,
32,General Journal,18/06/2021,JV202106001,KBANK,KBANK,,,,,,,,,,Half year interest 2021,,,,4200001  Interest income,,,1112101  Bank S/A -Kbank -9996,,,,217.25,-217.25,0,Income,0,0,0,,,,,
34,Cheque,18/06/2021,PV202106006,KBANK,KBANK,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,4200001  Interest income,,,,32.59,-32.59,-32.59,Bank,-32.59,0,-32.59,,,,,
34,Cheque,18/06/2021,PV202106006,KBANK,KBANK,,,,,,,,,,Half year interest 2021,,,,4200001  Interest income,,,1112101  Bank S/A -Kbank -9996,,32.59,32.59,,32.59,0,Income,32.59,0,32.59,,,,,
