Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,AMT,Amount,Account Type,Tax Amount
"54,230",General Journal,02/07/2019,MV loan,Australian Taxation Office,,MV EBS54K -chattel mortgage,,GSP,213000 · GST Liability,,GSP,,,78.78,,78.78,78.78,Other Current Liability,
"54,231",General Journal,04/07/2019,bron week 1,,,week 1 overtime for Bron was taken up on 10/07/19,,,111000 · Westpac,,,,,63.5,,63.5,63.5,Bank,
"54,231",General Journal,04/07/2019,bron week 1,,,week 1 overtime for Bron was taken up on 10/07/19,,,111403 · Loan to Bron R.,,,,,,63.5,-63.5,-63.5,Other Asset,
"54,233",General Journal,04/07/2019,james s.W1,,,James s. week 1 overtime was taken up on 10/07/19,,,111000 · Westpac,,,,,79,,79,79,Bank,
"54,233",General Journal,04/07/2019,james s.W1,,,James s. week 1 overtime was taken up on 10/07/19,,,111413 · Loan to James S.,,,,,,79,-79,-79,Other Asset,
"54,235",General Journal,04/07/2019,Steve G W1,,,Steve G. week 1 overtime was paid on 10/7/19,,,111000 · Westpac,,,,,660,,660,660,Bank,
"54,235",General Journal,04/07/2019,Steve G W1,,,Steve G. week 1 overtime was paid on 10/7/19,,,111409 · Loan to Stephen G.,,,,,,660,-660,-660,Other Asset,
"54,237",General Journal,04/07/2019,Vishnar W1,,,Vishnar L.Week 1 overtime was paid on 10/07/19,,,111000 · Westpac,,,,,186.13,,186.13,186.13,Bank,
"54,237",General Journal,04/07/2019,Vishnar W1,,,Vishnar L.Week 1 overtime was paid on 10/07/19,,,111408 · Loan to Vishnar L.,,,,,,186.13,-186.13,-186.13,Other Asset,
"54,239",General Journal,04/07/2019,Steve L. W1,,,Steve L. week 1 overtime was paid on 10/07/2019,,,111000 · Westpac,,,,,172.63,,172.63,172.63,Bank,
"54,239",General Journal,04/07/2019,Steve L. W1,,,Steve L. week 1 overtime was paid on 10/07/2019,,,111414 · Loan to Stephen L.,,,,,,172.63,-172.63,-172.63,Other Asset,
"54,241",General Journal,04/07/2019,Steve H. W1,,,stephen H. week 1 overtime was paid on 10/07/2019,,,111000 · Westpac,,,,,392.75,,392.75,392.75,Bank,
"54,241",General Journal,04/07/2019,Steve H. W1,,,stephen H. week 1 overtime was paid on 10/07/2019,,,111404 · Loan to Steve H,,,,,,392.75,-392.75,-392.75,Other Asset,
"54,243",General Journal,04/07/2019,Virgilio W1,,,Virgilio N. Week 1 overtime was paid on 10/07/2019,,,111000 · Westpac,,,,,158,,158,158,Bank,
"54,243",General Journal,04/07/2019,Virgilio W1,,,Virgilio N. Week 1 overtime was paid on 10/07/2019,,,111415 · Loan to Virgilio N.,,,,,,158,-158,-158,Other Asset,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Suhib A.,,,212011 · Australian Super Payable,,,,,297.64,,297.64,297.64,Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Monaem D.,,,212011 · Australian Super Payable,,,,,457.58,,457.58,457.58,Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Stephen G.,,,212014 · Colonial First State  Super,,,,,"2,142.34",,2142.34,"2,142.34",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Stephen H.,,,212014 · Colonial First State  Super,,,,,"2,053.96",,2053.96,"2,053.96",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Nan H.,,,212039 · Hostplus Super,,,,,986.78,,986.78,986.78,Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Stephen L.,,,212011 · Australian Super Payable,,,,,"1,771.96",,1771.96,"1,771.96",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Vishnar L.,,,212014 · Colonial First State  Super,,,,,"2,089.18",,2089.18,"2,089.18",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Virgilio N.,,,212011 · Australian Super Payable,,,,,"1,986.56",,1986.56,"1,986.56",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Vikrant P.,,,212011 · Australian Super Payable,,,,,200.07,,200.07,200.07,Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Bron R.,,,212018 · AMP Flexible lifetime,,,,,"2,158.78",,2158.78,"2,158.78",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Rahul S.,,,212011 · Australian Super Payable,,,,,859.18,,859.18,859.18,Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,James S.,,,212011 · Australian Super Payable,,,,,"1,944.73",,1944.73,"1,944.73",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Scott V.,,,212011 · Australian Super Payable,,,,,"1,084.33",,1084.33,"1,084.33",Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Yiqi Z.,,,212011 · Australian Super Payable,,,,,328.32,,328.32,328.32,Other Current Liability,
"54,245",General Journal,04/07/2019,Jun19 Super,,,Jun 19 Super payment,,,111000 · Westpac,,,,,,"18,361.41",-18361.41,"-18,361.41",Bank,
"54,248",General Journal,08/07/2019,cc repay,,,cc repay,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"54,248",General Journal,08/07/2019,cc repay,,,cc repay,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"54,249",General Journal,08/07/2019,cc repay,,,funds transfer to Silver Generation bank acc,,,111000 · Westpac,,,,,,"4,400.00",-4400,"-4,400.00",Bank,
"54,249",General Journal,08/07/2019,cc repay,,,funds transfer to Silver Generation bank acc,,,111015 · Interco with Silver Generations,,,,,"4,400.00",,4400,"4,400.00",Bank,
"54,250",General Journal,08/07/2019,bank guaran,,,bank guarantee for Onesteel Villawood,,,111000 · Westpac,,,,,,"4,940.00",-4940,"-4,940.00",Bank,
"54,250",General Journal,08/07/2019,bank guaran,,,bank guarantee for Onesteel Villawood,,,111026 · Flexi 032349 552314,,,,,"4,940.00",,4940,"4,940.00",Bank,
"54,232",General Journal,10/07/2019,bron week 1,,,pay bron week 1 overtime,,,111000 · Westpac,,,,,,63.5,-63.5,-63.5,Bank,
"54,232",General Journal,10/07/2019,bron week 1,,,pay bron week 1 overtime,,,111403 · Loan to Bron R.,,,,,63.5,,63.5,63.5,Other Asset,
"54,234",General Journal,10/07/2019,james s.W1,,,James S. Week 1 overtime was paid on 10/07/19,,,111000 · Westpac,,,,,,79,-79,-79,Bank,
"54,234",General Journal,10/07/2019,james s.W1,,,James S. Week 1 overtime was paid on 10/07/19,,,111413 · Loan to James S.,,,,,79,,79,79,Other Asset,
"54,236",General Journal,10/07/2019,Steve G W1,,,Steve G. Week 1 overtime was paid on 10/07/19,,,111000 · Westpac,,,,,,660,-660,-660,Bank,
"54,236",General Journal,10/07/2019,Steve G W1,,,Steve G. Week 1 overtime was paid on 10/07/19,,,111409 · Loan to Stephen G.,,,,,660,,660,660,Other Asset,
"54,238",General Journal,10/07/2019,Vishnar W1,,,Vishnar L. Week 1 overtime was paid on 10/07/19,,,111000 · Westpac,,,,,,186.13,-186.13,-186.13,Bank,
"54,238",General Journal,10/07/2019,Vishnar W1,,,Vishnar L. Week 1 overtime was paid on 10/07/19,,,111408 · Loan to Vishnar L.,,,,,186.13,,186.13,186.13,Other Asset,
"54,240",General Journal,10/07/2019,Steve L. W1,,,Stephen L. W1 overtime was paid on 10/07/2019,,,111000 · Westpac,,,,,,172.63,-172.63,-172.63,Bank,
"54,240",General Journal,10/07/2019,Steve L. W1,,,Stephen L. W1 overtime was paid on 10/07/2019,,,111414 · Loan to Stephen L.,,,,,172.63,,172.63,172.63,Other Asset,
"54,242",General Journal,10/07/2019,Steve H. W1,,,Stephen H. overtime for week 1 was paid on 10/07/2019,,,111000 · Westpac,,,,,,392.75,-392.75,-392.75,Bank,
"54,242",General Journal,10/07/2019,Steve H. W1,,,Stephen H. overtime for week 1 was paid on 10/07/2019,,,111404 · Loan to Steve H,,,,,392.75,,392.75,392.75,Other Asset,
"54,244",General Journal,10/07/2019,VirgilioW1,,,Virgilio N. W1 was paid on 10/07/2019,,,111000 · Westpac,,,,,,158,-158,-158,Bank,
"54,244",General Journal,10/07/2019,VirgilioW1,,,Virgilio N. W1 was paid on 10/07/2019,,,111415 · Loan to Virgilio N.,,,,,158,,158,158,Other Asset,
"54,253",General Journal,10/07/2019,overpay,,,to record refund of overpayment to Australian Piling Group,,,111000 · Westpac,,,,,,"8,360.00",-8360,"-8,360.00",Bank,
"54,253",General Journal,10/07/2019,overpay,,,to record refund of overpayment to Australian Piling Group,,,111003 · Transitional  Account,,,,,"8,360.00",,8360,"8,360.00",Bank,
"54,254",General Journal,10/07/2019,overpay,,,to record overpayment by Australian Piling Group. the amount was refunded on the same day,,,111000 · Westpac,,,,,"8,360.00",,8360,"8,360.00",Bank,
"54,254",General Journal,10/07/2019,overpay,,,to record overpayment by Australian Piling Group. the amount was refunded on the same day,,,111003 · Transitional  Account,,,,,,"8,360.00",-8360,"-8,360.00",Bank,
"54,255",General Journal,10/07/2019,roundings,,,rounding,,,111000 · Westpac,,,,,0.01,,0.01,0.01,Bank,
"54,255",General Journal,10/07/2019,roundings,,,rounding,,FRE,810001 · Other Income -Dividend & Other,,FRE,,,,0.01,-0.01,-0.01,Other Income,0
"54,255",General Journal,10/07/2019,roundings,Australian Taxation Office,,rounding,,FRE,213000 · GST Liability,,FRE,,,0,,0,0,Other Current Liability,
"54,261",General Journal,18/07/2019,funds tfr,,,funds transfer to New Millennium Enterprises,,,111000 · Westpac,,,,,,"10,000.00",-10000,"-10,000.00",Bank,
"54,261",General Journal,18/07/2019,funds tfr,,,funds transfer to New Millennium Enterprises,,,111007 · Interco with New Millennium,,,,,"10,000.00",,10000,"10,000.00",Bank,
"56,233",General Journal,19/07/2019,18072019,,,"optus paid us to recover Vodafone early exit., missing credit notes. Tina requested with no outc...",,GST,810001 · Other Income -Dividend & Other,,GST,,,,"4,663.64",-4663.64,"-4,663.64",Other Income,-466.36
"56,233",General Journal,19/07/2019,18072019,,,"optus paid us to recover Vodafone early exit., missing credit notes. Tina requested with no outc...",,,111000 · Westpac,,,,,"5,130.00",,5130,"5,130.00",Bank,
"56,233",General Journal,19/07/2019,18072019,Australian Taxation Office,,"optus paid us to recover Vodafone early exit., missing credit notes. Tina requested with no outc...",,GST,213000 · GST Liability,,GST,,,,466.36,-466.36,-466.36,Other Current Liability,
"54,952",General Journal,21/07/2019,cc Jul19,,,,,,111004 · Master Card 8539,,,,,,"35,721.92",-35721.92,"-35,721.92",Bank,
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,511000 · Cost of Goods Sold,Newcastle,GSP,,,"9,719.33",,9719.33,"9,719.33",Cost of Goods Sold,971.93
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611002 · Advertisement & Marketing,,GSP,,,"3,636.36",,3636.36,"3,636.36",Expense,363.64
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611007 · Legal Fee,,GSP,,,"1,103.85",,1103.85,"1,103.85",Expense,110.38
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611010 · Office Supplies,,GSP,,,350.89,,350.89,350.89,Expense,35.09
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611017 · Travel-Domestic,,GSP,,,99.73,,99.73,99.73,Expense,9.97
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611024 · IT Mantenance Exp,,GSP,,,146.5,,146.5,146.5,Expense,14.65
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611022 · Repair and Maintenance,,GSP,,,121.82,,121.82,121.82,Expense,12.18
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611025 · Internet,,GSP,,,45.45,,45.45,45.45,Expense,4.54
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,NCF,611027 · ASIC  Fee,,NCF,,,9,,9,9,Expense,0
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,611034 · Subscription,,GSP,,,"1,144.00",,1144,"1,144.00",Expense,114.4
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,612001 · Auto Repairs or Servicing,,GSP,,,40.91,,40.91,40.91,Expense,4.09
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,612002 · Car Insurance,Newcastle,GSP,,,185.32,,185.32,185.32,Expense,18.53
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,612003 · Petrol,,GSP,,,521.81,,521.81,521.81,Expense,52.18
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSF,612004 · Car Rego,,GSF,,,"3,183.94",,3183.94,"3,183.94",Expense,0
"54,952",General Journal,21/07/2019,cc Jul19,,,cc Jul19,,GSP,612006 · Parking,,GSP,,,126.37,,126.37,126.37,Expense,12.64
"54,952",General Journal,21/07/2019,cc Jul19,,,,,,111401 · Loan to Scott,,,,,"1,426.80",,1426.8,"1,426.80",Other Asset,
"54,952",General Journal,21/07/2019,cc Jul19,,,,,,111007 · Interco with New Millennium,,,,,541.7,,541.7,541.7,Bank,
"54,952",General Journal,21/07/2019,cc Jul19,,,,,GSP,612002 · Car Insurance,Homelift,GSP,,,101.66,,101.66,101.66,Expense,10.17
"54,952",General Journal,21/07/2019,cc Jul19,,,,,GSP,612002 · Car Insurance,,GSP,,,"4,303.43",,4303.43,"4,303.43",Expense,430.34
"54,952",General Journal,21/07/2019,cc Jul19,,,,,GSP,511000 · Cost of Goods Sold,New Crane,GSP,,,"6,134.84",,6134.84,"6,134.84",Cost of Goods Sold,613.48
"54,952",General Journal,21/07/2019,cc Jul19,Australian Taxation Office,,,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"54,952",General Journal,21/07/2019,cc Jul19,Australian Taxation Office,,,,GSP,213000 · GST Liability,,GSP,,,"2,778.21",,2778.21,"2,778.21",Other Current Liability,
"54,952",General Journal,21/07/2019,cc Jul19,Australian Taxation Office,,,,NCF,213000 · GST Liability,,NCF,,,0,,0,0,Other Current Liability,
"54,267",General Journal,23/07/2019,Homelift cu,,,"customer payment Homelift INV20621, Job no.23602, David Fuge",,,111000 · Westpac,,,,,480,,480,480,Bank,
"54,267",General Journal,23/07/2019,Homelift cu,,,"customer payment Homelift INV20621, Job no.23602, David Fuge",,,111007 · Interco with New Millennium,,,,,,480,-480,-480,Bank,
"54,268",General Journal,23/07/2019,payroll rec,,,Annual reconciliation of payroll tax for 2019FY. Group Single Lodger.,,,111000 · Westpac,,,,,,514.8,-514.8,-514.8,Bank,
"54,268",General Journal,23/07/2019,payroll rec,,,Annual reconciliation of payroll tax for 2019FY. Group Single Lodger.,,GSF,613009 · Payroll Tax,,GSF,,,514.8,,514.8,514.8,Expense,0
"54,268",General Journal,23/07/2019,payroll rec,Australian Taxation Office,,Annual reconciliation of payroll tax for 2019FY. Group Single Lodger.,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"54,271",General Journal,25/07/2019,Funds Tfr,,,funds transferred to New Millennium Enterprises,,,111000 · Westpac,,,,,,"10,000.00",-10000,"-10,000.00",Bank,
"54,271",General Journal,25/07/2019,Funds Tfr,,,funds transferred to New Millennium Enterprises,,,111007 · Interco with New Millennium,,,,,"10,000.00",,10000,"10,000.00",Bank,
"54,514",General Journal,31/07/2019,interest,,,interest received,,,111000 · Westpac,,,,,1.6,,1.6,1.6,Bank,
"54,514",General Journal,31/07/2019,interest,,,interest received,,FRE,810002 · Interest Received,,FRE,,,,1.6,-1.6,-1.6,Other Income,0
"54,514",General Journal,31/07/2019,interest,Australian Taxation Office,,interest received,,FRE,213000 · GST Liability,,FRE,,,0,,0,0,Other Current Liability,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,111600 · Inventory Asset,,,,,,"4,659.10",-4659.1,"-4,659.10",Other Current Asset,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,111600 · Inventory Asset,,,,,,"82,304.76",-82304.76,"-82,304.76",Other Current Asset,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,Homelift,,,,"4,659.10",,4659.1,"4,659.10",Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,New Crane,,,,"82,304.76",,82304.76,"82,304.76",Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,111600 · Inventory Asset,,,,,,"12,363.37",-12363.37,"-12,363.37",Other Current Asset,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,Newcastle,,,,"12,363.37",,12363.37,"12,363.37",Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,510000 · Cost of Good Sold,,,,,,468.48,-468.48,-468.48,Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,Sydney:Sydney Other,,,,468.48,,468.48,468.48,Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,111600 · Inventory Asset,,,,,,"17,468.56",-17468.56,"-17,468.56",Other Current Asset,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,Sydney:Sydney Other,,,,"17,468.56",,17468.56,"17,468.56",Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,111600 · Inventory Asset,,,,,,"4,401.33",-4401.33,"-4,401.33",Other Current Asset,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,Sydney:Sydney Train,,,,"4,401.33",,4401.33,"4,401.33",Cost of Goods Sold,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,111600 · Inventory Asset,,,,,,468.48,-468.48,-468.48,Other Current Asset,
"54,846",General Journal,31/07/2019,Jul 19 Adj,,,reallocate Jul purchases that posted to inventory and system auto posting between COGS and inven...,,,511000 · Cost of Goods Sold,Sydney:Sydney Other,,,,468.48,,468.48,468.48,Cost of Goods Sold,
"54,547",General Journal,02/08/2019,Refund-Rego,,,Refund - as cancellled Rego of BX53XV,,,111000 · Westpac,,,,,788,,788,788,Bank,
"54,547",General Journal,02/08/2019,Refund-Rego,,,Refund - as cancellled Rego of BX53XV,,FRE,810001 · Other Income -Dividend & Other,,FRE,,,,788,-788,-788,Other Income,0
"54,547",General Journal,02/08/2019,Refund-Rego,Australian Taxation Office,,Refund - as cancellled Rego of BX53XV,,FRE,213000 · GST Liability,,FRE,,,0,,0,0,Other Current Liability,
"54,794",General Journal,06/08/2019,Silver Gene,,,Funds TFR from Starlluf Cranes to Silver Generations,,,111000 · Westpac,,,,,,"2,000.00",-2000,"-2,000.00",Bank,
"54,794",General Journal,06/08/2019,Silver Gene,,,Funds TFR from Starlluf Cranes to Silver Generations,,,111015 · Interco with Silver Generations,,,,,"2,000.00",,2000,"2,000.00",Bank,
"54,795",General Journal,06/08/2019,Silver Gene,,,Funds TFR from Starlluf to Silver Generation,,,111000 · Westpac,,,,,,"4,000.00",-4000,"-4,000.00",Bank,
"54,795",General Journal,06/08/2019,Silver Gene,,,Funds TFR from Starlluf to Silver Generation,,,111015 · Interco with Silver Generations,,,,,"4,000.00",,4000,"4,000.00",Bank,
"54,672",General Journal,08/08/2019,Funds Tfr,,,Funds Tfr,,,111007 · Interco with New Millennium,,,,,"20,000.00",,20000,"20,000.00",Bank,
"54,672",General Journal,08/08/2019,Funds Tfr,,,Funds Tfr,,,111000 · Westpac,,,,,,"20,000.00",-20000,"-20,000.00",Bank,
"54,800",General Journal,09/08/2019,JunBAS,,,Jun 19 BAS Refund,,,111000 · Westpac,,,,,"36,585.00",,36585,"36,585.00",Bank,
"54,800",General Journal,09/08/2019,JunBAS,,,Jun 19 BAS Refund,,,219000 · Paybable to ATO,,,,,,"36,585.00",-36585,"-36,585.00",Bank,
"54,484",General Journal,12/08/2019,New Mil,,,Business Name of Homelifts by Cranetec registration for 3 years,,,111004 · Master Card 8539,,,,,,85,-85,-85,Bank,
"54,484",General Journal,12/08/2019,New Mil,,,Business Name of Homelifts by Cranetec registration for 3 years,,,111007 · Interco with New Millennium,,,,,85,,85,85,Bank,
"54,803",General Journal,13/08/2019,cc repay,,,cc repay,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"54,803",General Journal,13/08/2019,cc repay,,,cc repay,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"54,665",General Journal,15/08/2019,Funds Tfr,,,Funds Tfr,,,111007 · Interco with New Millennium,,,,,"10,000.00",,10000,"10,000.00",Bank,
"54,665",General Journal,15/08/2019,Funds Tfr,,,Funds Tfr,,,111000 · Westpac,,,,,,"10,000.00",-10000,"-10,000.00",Bank,
"54,659",General Journal,16/08/2019,Raj Loan,,,Raj's loan repayment,,,111000 · Westpac,,,,,"2,937.65",,2937.65,"2,937.65",Bank,
"54,659",General Journal,16/08/2019,Raj Loan,,,Raj's loan repayment,,,111406 · Loan to Reliable Technical Serv,,,,,,"2,937.65",-2937.65,"-2,937.65",Other Asset,
"54,716",General Journal,19/08/2019,Golden T,,,Golden Tiger Corp Jul-Sep 19 Water,,,111004 · Master Card 8539,,,,,,354.41,-354.41,-354.41,Bank,
"54,716",General Journal,19/08/2019,Golden T,,,Golden Tiger Corp Jul-Sep 19 Water,,,111009 · Intero with GT,,,,,354.41,,354.41,354.41,Bank,
"54,717",General Journal,19/08/2019,Golden T,,,Golden Tiger Council Rate 2020FY first instalment,,,111004 · Master Card 8539,,,,,,"1,999.74",-1999.74,"-1,999.74",Bank,
"54,717",General Journal,19/08/2019,Golden T,,,Golden Tiger Council Rate 2020FY first instalment,,,111009 · Intero with GT,,,,,"1,999.74",,1999.74,"1,999.74",Bank,
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,511000 · Cost of Goods Sold,Homelift,GSP,,,"6,007.72",,6007.72,"6,007.72",Cost of Goods Sold,600.77
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,511000 · Cost of Goods Sold,Sydney:Sydney Other,GSP,,,"7,228.44",,7228.44,"7,228.44",Cost of Goods Sold,722.84
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,611002 · Advertisement & Marketing,,GSP,,,"2,727.27",,2727.27,"2,727.27",Expense,272.73
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,611010 · Office Supplies,,GSP,,,690.37,,690.37,690.37,Expense,69.04
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,611017 · Travel-Domestic,,GSP,,,"1,585.88",,1585.88,"1,585.88",Expense,158.59
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,611024 · IT Mantenance Exp,,GSP,,,151.07,,151.07,151.07,Expense,15.11
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,611025 · Internet,,GSP,,,45.45,,45.45,45.45,Expense,4.54
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,611034 · Subscription,,GSP,,,129,,129,129,Expense,12.9
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,612002 · Car Insurance,Newcastle,GSP,,,185.32,,185.32,185.32,Expense,18.53
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,612002 · Car Insurance,Homelift,GSP,,,101.66,,101.66,101.66,Expense,10.17
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,612002 · Car Insurance,Sydney:Sydney Other,GSP,,,"2,158.85",,2158.85,"2,158.85",Expense,215.88
"55,082",General Journal,20/08/2019,CC Aug 19,,,,,GSP,612003 · Petrol,,GSP,,,671.18,,671.18,671.18,Expense,67.12
