Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,Amount,Account Type,Tax Amount
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225686/1    XO20CL    31.76t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.76,10,,317.6,-317.6,Income,-31.76
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225942/1    FHE480    36.80t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.8,10,,368,-368,Income,-36.8
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225688/1    XO72FQ    30.86t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.86,10,,308.6,-308.6,Income,-30.86
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225944/1    XN15KO    37.04t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.04,10,,370.4,-370.4,Income,-37.04
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225433/1    FHE620    37.38t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.38,10,,373.8,-373.8,Income,-37.38
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225434/1    FHE222    31.08t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.08,10,,310.8,-310.8,Income,-31.08
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225690/1    XO51RW    30.96t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.96,10,,309.6,-309.6,Income,-30.96
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225435/1    FHE610    37.40t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.4,10,,374,-374,Income,-37.4
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225438/1    XN15KO    36.76t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.76,10,,367.6,-367.6,Income,-36.76
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225440/1    XO25FD    37.18t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.18,10,,371.8,-371.8,Income,-37.18
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225446/1    XO20CL    31.86t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.86,10,,318.6,-318.6,Income,-31.86
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225449/1    FHE620    37.50t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.5,10,,375,-375,Income,-37.5
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225451/1    FHE222    31.32t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.32,10,,313.2,-313.2,Income,-31.32
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225452/1    FHE610    37.38t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.38,10,,373.8,-373.8,Income,-37.38
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225455/1    XN15KO    36.86t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.86,10,,368.6,-368.6,Income,-36.86
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225458/1    XO25FD    37.40t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.4,10,,374,-374,Income,-37.4
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225462/1    XO20CL    31.80t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.8,10,,318,-318,Income,-31.8
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225469/1    XO72FQ    31.06t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.06,10,,310.6,-310.6,Income,-31.06
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225471/1    FHE620    37.64t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.64,10,,376.4,-376.4,Income,-37.64
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225472/1    FHE222    31.32t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.32,10,,313.2,-313.2,Income,-31.32
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225474/1    FHE610    37.92t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.92,10,,379.2,-379.2,Income,-37.92
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225987/1    3SNOOP    38.58t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.58,10,,385.8,-385.8,Income,-38.58
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225476/1    XN15KO    36.76t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.76,10,,367.6,-367.6,Income,-36.76
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225478/1    XO25FD    37.16t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.16,10,,371.6,-371.6,Income,-37.16
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225486/1    XO72FQ    30.64t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,30.64,10,,306.4,-306.4,Income,-30.64
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225743/1    XO25FD    36.96t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.96,10,,369.6,-369.6,Income,-36.96
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225489/1    XO20CL    31.72t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.72,10,,317.2,-317.2,Income,-31.72
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225745/1    3SNOOP    38.84t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.84,10,,388.4,-388.4,Income,-38.84
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225490/1    FHE620    37.42t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.42,10,,374.2,-374.2,Income,-37.42
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225491/1    FHE222    31.38t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.38,10,,313.8,-313.8,Income,-31.38
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225492/1    FHE610    37.50t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.5,10,,375,-375,Income,-37.5
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225748/1    XN15KO    37.38t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.38,10,,373.8,-373.8,Income,-37.38
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225496/1    XO25FD    37.20t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.2,10,,372,-372,Income,-37.2
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225752/1    FHE600    36.76t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.76,10,,367.6,-367.6,Income,-36.76
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225753/1    FHE480    36.52t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.52,10,,365.2,-365.2,Income,-36.52
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225499/1    XN15KO    37.26t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.26,10,,372.6,-372.6,Income,-37.26
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225506/1    XN17JV    32.44t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,32.44,10,,324.4,-324.4,Income,-32.44
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225765/1    3SNOOP    38.78t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.78,10,,387.8,-387.8,Income,-38.78
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225766/1    XO25FD    37.02t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.02,10,,370.2,-370.2,Income,-37.02
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225769/1    4SNOOP    42.26t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,42.26,10,,422.6,-422.6,Income,-42.26
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225771/1    XN15KO    36.96t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.96,10,,369.6,-369.6,Income,-36.96
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225775/1    FHE600    35.48t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,35.48,10,,354.8,-354.8,Income,-35.48
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225776/1    FHE480    36.56t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.56,10,,365.6,-365.6,Income,-36.56
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225793/1    FHE610    37.36t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.36,10,,373.6,-373.6,Income,-37.36
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225802/1    4SNOOP    42.00t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,42,10,,420,-420,Income,-42
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225804/1    3SNOOP    39.18t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,39.18,10,,391.8,-391.8,Income,-39.18
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225808/1    FHE600    36.18t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.18,10,,361.8,-361.8,Income,-36.18
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225809/1    FHE480    36.94t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.94,10,,369.4,-369.4,Income,-36.94
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225810/1    XO25FD    37.02t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.02,10,,370.2,-370.2,Income,-37.02
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225811/1    XN15KO    37.12t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.12,10,,371.2,-371.2,Income,-37.12
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225573/1    FHE222    31.12t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.12,10,,311.2,-311.2,Income,-31.12
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225574/1    XO25FD    36.80t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.8,10,,368,-368,Income,-36.8
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225575/1    FHE610    37.00t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37,10,,370,-370,Income,-37
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225579/1    3SNOOP    38.48t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.48,10,,384.8,-384.8,Income,-38.48
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225585/1    FHE620    38.34t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.34,10,,383.4,-383.4,Income,-38.34
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225586/1    FHE480    37.18t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.18,10,,371.8,-371.8,Income,-37.18
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225595/1    FHE222    31.24t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.24,10,,312.4,-312.4,Income,-31.24
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225596/1    XO25FD    37.10t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.1,10,,371,-371,Income,-37.1
